conversation_num,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,difficulty,score,duration,efficiency,speaker_nickname,message,timestamp
rHPaiuXkM3Ss4rEsW_easy,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],586.0,107.0,5.476635514018692,oJLD2kfcwGyXkfCeH,Can we get D to the highest score?,2021-02-26T19:11:21.474Z
dArSAcrzmb9bR6Pug_easy,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6QvNn8wdCyviKCjiv,looks good,2021-02-26T19:22:32.695Z
dArSAcrzmb9bR6Pug_easy,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6qP7EcqvYQL4gmrAX,I like it,2021-02-26T19:23:14.467Z
dArSAcrzmb9bR6Pug_easy,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,NMkPLqERKzTTMqw5Y,It looks good to me,2021-02-26T19:23:20.650Z
dArSAcrzmb9bR6Pug_easy,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6QvNn8wdCyviKCjiv,stop changing it,2021-02-26T19:23:52.111Z
dArSAcrzmb9bR6Pug_easy,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,I made it higher stop you made it lower,2021-02-26T19:24:39.311Z
dArSAcrzmb9bR6Pug_easy,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,"look, now they are all over 50",2021-02-26T19:25:27.770Z
dArSAcrzmb9bR6Pug_easy,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6qP7EcqvYQL4gmrAX,but they are breaking a rule,2021-02-26T19:25:50.170Z
dArSAcrzmb9bR6Pug_easy,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,"pay attention to the numbers if you care about $, please",2021-02-26T19:25:52.373Z
dArSAcrzmb9bR6Pug_easy,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,NMkPLqERKzTTMqw5Y,"Yes, we have to take into account two broken rules =-200",2021-02-26T19:26:14.885Z
