conversation_num,task_type,speaker_name,timestamp,message,fracture
5d6ecaaa1587634cee40f865,cognitive-conflic,Person1,12,Hello,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person2,29,Hi,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person3,33,hello,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person1,56,"I'm a firm believer in libraries, so I'd like to see a good chunk go to that.",True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person1,75,I'm almost thinking an even three way split here.,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person2,82,HAsnt wifi made libraries obsolete,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person3,129,I believe we should order 1 2 3 any thoughts on that before we determine amounts?,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person1,130,"No way. For some people, it's the only source of internet.",True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person4,134,I feel like the most important part is the tourist bureau,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person2,143,Hows about we pay hackers to wreck the computer so taxes cant be billed at all,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person2,178,"Ok, I was thinking of books and stuff. I doubt anyone uses a library for books",True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person1,195,Tourism is important. But the computer system would probably require a lot of money to impliment effectivley.,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person4,205,volumes is referring to additional books,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person1,220,"For poorer people, the library is still sometimes thier only source of books.",True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person2,227,Ah ... no way then. Just make the whole town free wifi,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person1,250,They still need to be able to afford techonolgy.,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person2,277,Maybe buy ipads and chain them to the wall,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person3,290,So ppl still got to pay taxes though I mean legally so hows about that 123 order?,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person1,298,"Anyway . . . what about 200K, 150K, 150K?",True
