,model,model_type,features_included,alpha,q_squared
10,Lasso(alpha=0.01807681633253616),Lasso,All Features,0.0181,0.4362922223467405
8,Lasso(alpha=0.01795236400190108),Lasso,Task Complexity + Communication,0.018,0.4248763628547355
5,Lasso(alpha=0.004797462956935547),Lasso,Team Composition + Task Complexity,0.0048,0.30776268621733993
4,Ridge(alpha=0.004797462956935547),Ridge,Team Composition + Task Complexity,0.0048,0.30649582691315824
2,Ridge(alpha=0.0003687229747749683),Ridge,Task Complexity,0.0004,0.2875386950951766
3,Lasso(alpha=0.0003687229747749683),Lasso,Task Complexity,0.0004,0.28753616948343574
6,Lasso(alpha=0.03713241611085374),Lasso,Communication,0.0371,0.1919444452157194
1,Lasso(alpha=0.012000561028387539),Lasso,Team Composition,0.012,0.020162395788238197
0,Ridge(alpha=0.012000561028387539),Ridge,Team Composition,0.012,0.018162097215117745
9,Ridge(alpha=0.01795236400190108),Ridge,Task Complexity + Communication,0.018,-2.9407806569760875
11,Ridge(alpha=0.01807681633253616),Ridge,All Features,0.0181,-5.078492565392869
7,Ridge(alpha=0.03713241611085374),Ridge,Communication,0.0371,-6.301830957938426
