,model,model_type,features_included,alpha,q_squared
4,Ridge(alpha=0.007289108005626287),Ridge,Team Composition + Task Complexity,0.0073,0.0783841696777744
5,Lasso(alpha=0.007289108005626287),Lasso,Team Composition + Task Complexity,0.0073,0.07647096234541406
2,Ridge(alpha=0.00528403267995901),Ridge,Task Complexity,0.0053,0.06320985540394508
3,Lasso(alpha=0.00528403267995901),Lasso,Task Complexity,0.0053,0.06249500794114693
1,Lasso(alpha=0.00021444762957846788),Lasso,Team Composition,0.0002,0.014566035439700142
0,Ridge(alpha=0.00021444762957846788),Ridge,Team Composition,0.0002,0.014548597558811993
6,Lasso(alpha=0.21375707740564887),Lasso,Communication,0.2138,-0.011904156445429637
8,Lasso(alpha=0.21375707740564887),Lasso,Task Complexity + Communication,0.2138,-0.011904156445429637
10,Lasso(alpha=0.21272586237109034),Lasso,All Features,0.2127,-0.011908292382694308
9,Ridge(alpha=0.21375707740564887),Ridge,Task Complexity + Communication,0.2138,-1.3104525268923206
11,Ridge(alpha=0.21272586237109034),Ridge,All Features,0.2127,-1.3756585979593745
7,Ridge(alpha=0.21375707740564887),Ridge,Communication,0.2138,-1.4082015711128824
