,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
gini_coefficient_sum_num_words,-0.054105691266414735,-0.049496033625089905,-0.051093282257776644,-0.0464204164754412,-0.03145333137385779,-0.050893218014827546,-0.046869721542918436,-0.04374949277213702,-0.04975688179303539,-0.049469553067847165,-0.036789140386875405,-0.047346652124793775,-0.050359645600486336,-0.04960169790688029,-0.049590049331000065,-0.04895932300650922,-0.04836510058426624,-0.04975082656538192,-0.04864056731386005,-0.04912152804393569,-0.044307410399829245,-0.05076139032896412,-0.05351133552759295,-0.04918621325143861,-0.0493194000376197,-0.04956901922921067,-0.05010961919025287,-0.048384765980747715,-0.048915356136028855,-0.05022999567865788,-0.04879759072501023,-0.04658357628184233,-0.049363160418299176,-0.04887996332567507,-0.048941819369340764,-0.0510448671204905,-0.04970317221072727,-0.047890738970662296,-0.051892193047585605,-0.05443185151946383,-0.050986132342863755,-0.049518207896035005,-0.04943286781592027,-0.05247812615628615,-0.04696940956554124,-0.04900329526322006,-0.05158271876962106,-0.04961232292475319,-0.049762637892293855,-0.0493133886005279,-0.04833225617066485,-0.047240879185284426,-0.05031734315402714,-0.049582517005685514,-0.04848821675295396,-0.049729425764042684,-0.0494668603364629,-0.05183171925385738,-0.04983440933105637,-0.049890279410915506,-0.04950816365267615,-0.049356578642487714,-0.04746784339604625,-0.04926160086520985,-0.04407081421579273,-0.04901198273717057,-0.04926254088258068,-0.04817597765768065,-0.046728509666029996,-0.04236470074045867,-0.049129784689441874,-0.04930107655522295,-0.04861532588514842,-0.05027615396208182,-0.03766176280740188,-0.0492559955345665,-0.0506270114066146,-0.049428394926379765,-0.04855272511516573,-0.049481556271604984,-0.049524891311604764,-0.049178531655464174,-0.03896249712056537,-0.039741994503703346,-0.0530253187077311,-0.05075737326405742,-0.048289176106022146,-0.04962201096351964,-0.04811154450287992,-0.04845013565571067,-0.045983730915503784,-0.04968335740485543,-0.0498623082490251
gini_coefficient_sum_num_chars,-0.05318631560679127,-0.046732025881779514,-0.046286631473708886,-0.04194658685352834,-0.028662404860343008,-0.04801064840991013,-0.04070268894511576,-0.040024703104269345,-0.046819550194020905,-0.0464927718957429,-0.03554856928818335,-0.044874290482297755,-0.048707200215962414,-0.046728698501097066,-0.04668765666228254,-0.04636306272131763,-0.045927383661148506,-0.04684789469972819,-0.04576983043138171,-0.046403908597638724,-0.04660551646362297,-0.04818632129280859,-0.05125049231184487,-0.04644285772404188,-0.04767611952488205,-0.046702804727301914,-0.0464103077142798,-0.04453294539532865,-0.04579920618974022,-0.04581322814705938,-0.04587084245491098,-0.04508744114655696,-0.04849229617286585,-0.0451589684920056,-0.04565072695177855,-0.04805557225679051,-0.04713812133282964,-0.04526000610107055,-0.048360978103480556,-0.05087515532063153,-0.04989381696201489,-0.04660605275508323,-0.04595153413046222,-0.048148396802280766,-0.04401964915048421,-0.04609878402503462,-0.04879824947867001,-0.04671154815351298,-0.04716193414101581,-0.04679327183315065,-0.0448229595984448,-0.044350613450249175,-0.04688923982810826,-0.04609613181717043,-0.046864472878852204,-0.04626202127142161,-0.046808094300599935,-0.047827747767661744,-0.046937172298217075,-0.046399280898828464,-0.043507117617233707,-0.046293704043384024,-0.045469601079141865,-0.04746413718189447,-0.04080434245650562,-0.046842993929888124,-0.04637647926720999,-0.047267043720189056,-0.043447090246231654,-0.042314503999481466,-0.04620120784088888,-0.04640214651375614,-0.04685255710533309,-0.04731505632033697,-0.03387019619697827,-0.04626430509901274,-0.04735089331822854,-0.047160318294350065,-0.04446817352699322,-0.04650005516170905,-0.0465979992049976,-0.04634835224656747,-0.03610657465011197,-0.035472059982971704,-0.04640767295404036,-0.04915919201737374,-0.04604152153969139,-0.04665574009661225,-0.04539737849016524,-0.04631919706325324,-0.04149728700930795,-0.04677803719161992,-0.04697112433840718
gini_coefficient_sum_num_messages,-0.0001553073740510405,-0.0016254975234492354,-0.005055283949365844,-0.0018787866809853258,0.00013262832438391998,-0.0017733382431311222,-0.00014572405295751323,0.002935274904573029,-0.0038173309299072648,-0.0021000306696803434,-0.007239876010809415,-0.0024346216696220467,-0.004715645344136266,-0.0015317600755065629,-0.0014874701705700835,-0.00141106496034539,-0.0022145820073989422,-0.0014723853229332215,-0.0029796058237783057,-0.0014061314375278175,-0.0035045434059137494,-0.001509909378805966,-0.0054792419754624115,-0.0008305677862087482,-0.0015261403290441587,-0.0014461260092471472,-0.0008357121252970719,-0.0005447666811775123,-0.0010367885315091634,-0.0010348008831770426,-0.0020569441220206416,-0.0011328112444359845,-0.0018839976379978578,-0.0020251889901565148,-0.0013399594830454126,-0.0011314918927268162,0.0006536854424776042,-0.0006426845248996994,0.002504628152255021,-0.0006963166126856025,-0.0018362709480777874,-0.0014518290763633757,6.549584844668319e-05,-0.005074071149648703,-0.0015172917973449718,-0.0011244461343561177,-0.0015593335645846668,-0.001391987779059127,-0.002457619883078358,-0.0017265142931241761,-0.0016800187899149097,-0.0031924424258664257,-0.0007712424451599906,-0.0004957370540404071,-0.0043840659278709185,-0.003130574695901483,-0.0002293255170048164,-0.0028340759014417807,-0.0017536210900131605,-0.003979435565002347,-0.005489354162338134,-0.0018230942134193108,-0.0033885035102184657,-0.0015165920207689566,-0.005096827295919161,-0.0011553361848483067,-0.0012683290672040048,-0.0012559281862614471,0.0034336999032861405,0.0012141051797776633,-0.002072870954464503,-0.0009619844795816217,0.00040948376926538965,-0.002683750572468382,0.001909438710906831,-0.0013358419155655252,-0.0029517254429357164,-0.005113853405448396,-0.0021370009287072847,-0.0015893101455603954,-0.0013297953702841089,-0.001387612352071528,0.001973594165201996,0.004511337965015032,-0.001293685650008359,-0.006029811533168113,-0.001171316124533953,-0.0016340841431136677,-0.0008995690369727289,-0.0004537583144255987,-0.0011285722804413537,0.001061839254810272,-0.0021808062822008256
average_num_words,-0.0009529676990028824,-0.002437885756673877,-0.00183839963100141,-0.004035172855738723,-0.006443124249750229,-0.002871885527835679,-0.0017608668019267366,-0.005588262733695563,-0.0037591898177514564,-0.002682533186463186,-0.0024956190335479675,-0.0029783821585953364,-0.003341204519263674,-0.002538113175007767,-0.0025724361918685185,-0.0023325672424327412,-0.0024113730673420916,-0.002694615252596233,-0.003905931541883182,-0.002492913132814561,-0.0011370678049205385,-0.002521831510629166,-0.0020734736110325502,-0.002844736724818251,-0.0021223732976042367,-0.0026049300695464017,-0.002400296938418145,-0.003231915869710014,-0.0027955189100390826,-0.0011381064755148565,-0.0027536437423409388,-0.002013868682309749,-0.002394120976035412,-0.0028965319355453434,-0.0035388732031195226,-0.0054797703227706315,-0.0029344687011560316,-0.0021652110740209216,-0.001987214492724057,-0.0007623800112395648,-0.0013452657737554538,-0.002675477987441572,-0.0017491809418627366,-0.0012492274094138903,-0.003139765571402029,-0.002329142678516756,-0.0001412214237525196,-0.0025725678359163895,0.00019761815348918674,-0.002678243948120322,-0.002487509692068972,-0.0035006240935603512,-0.00310369660301469,-0.002789601926896784,0.0005699488456658089,-0.0028628134808616843,-0.002114244141936618,-0.0019560712753111213,-0.0023989623211917617,-0.0018099869834155916,-0.004505945611687184,-0.0028832075024667423,-0.0074210676977791695,-0.0058870410639146,-0.0067832138425878066,-0.002885387173687755,-0.002551735423119792,-0.0016433730419967612,-0.0037922327565896516,-0.0032427520057049224,-0.002807115296044627,-0.002627283048888928,-0.001288744806829156,-0.002597467431496553,-0.0048608966804137965,-0.0026468983050938893,-0.0027675358005031583,-0.0029853665393031574,-0.0016649304013824848,-0.002500419634672542,-0.002549291297071761,-0.0025358682120747928,-0.0045919449485451805,0.000786410463136036,-0.0018340400887720647,-0.0026341456882000482,-0.002207371833157487,-0.0026385998185504272,-0.0016501032127103944,-0.002215757219203005,-0.003525376676350332,-0.004330061902188055,-0.002389734865134576
stdev_num_words,-0.004687066294587821,-0.008271166589771908,-0.011181868501799929,-0.0070310468350459395,-0.010264818438952703,-0.008474883757186531,-0.010206031574790731,-0.005728209050502003,-0.012812728284459432,-0.008608594358467236,-0.005835163358137302,-0.008887469043380208,-0.012061966410842017,-0.008443061476108418,-0.008500516679059295,-0.008583787262823814,-0.008317478865009286,-0.008493646013152334,-0.008684346819870348,-0.00840436966680452,-0.005342440931661918,-0.010204238711737462,-0.007815311619145488,-0.008735614732137067,-0.009245079079425176,-0.008747156953041112,-0.008600684306400605,-0.005264363862608755,-0.008474851284242167,-0.008044259188816039,-0.007232606937028357,-0.00927459934262859,-0.009484146185362493,-0.008241179167788333,-0.00817855292234032,-0.009002736553372293,-0.00900838159234437,-0.009445550974882321,-0.0055581548408021875,-0.011220167183983944,-0.008936204789882763,-0.008479528565397475,-0.009090402048706895,-0.007283578654548151,-0.008740172128328625,-0.008260742198207662,-0.008461884381218702,-0.0085123000339828,-0.0072192599635605426,-0.008413571268947867,-0.0060308262657472675,-0.006980434464167479,-0.007930411341109042,-0.008522205565309339,-0.008417126814834152,-0.008236677063132424,-0.008765280805319811,-0.010502362569857728,-0.00824153598078255,-0.009984672883273423,-0.0034836677514847184,-0.008281418346766291,-0.01544654501503677,-0.007336442518216243,-0.007817636911285428,-0.009292238436974718,-0.008354946355226298,-0.011501353559802769,-0.006226224773767889,-0.00884875379800585,-0.008510372579386445,-0.00857675290948975,-0.00616311582551656,-0.008749280363083848,-0.007332830405883738,-0.008690030594335832,-0.007676110776035094,-0.008218808857749369,-0.0050024018157322665,-0.008474392084192421,-0.0084816361190873,-0.008337617855843082,-0.0032030024977918424,-0.0065866495462155485,-0.008439145240008498,-0.00885238422528722,-0.008580172200059816,-0.008678978385960497,-0.009459369629592821,-0.008055946698159157,-0.0101287643947466,-0.009655021701805796,-0.0080445817703445
min_num_words,-0.035867940677458035,-0.03620599055307114,-0.03809786815188215,-0.03203655977939128,-0.029718354428134752,-0.03622793365633338,-0.030197586408583926,-0.030742476209990537,-0.02879004147207671,-0.03561645001894734,-0.03712442071063854,-0.034993975725781314,-0.03579474562852773,-0.036042519075904,-0.03610481054095631,-0.036148620528355706,-0.0360570144500897,-0.035928059898480774,-0.03582090440772426,-0.036440463537314866,-0.026976792976539297,-0.03145729246463551,-0.036630362167835995,-0.035466076116087486,-0.03669467062964633,-0.03559867029537016,-0.03588155721719243,-0.028500562537664916,-0.0356586051060654,-0.03600826997799328,-0.031191235496739467,-0.03638856781750287,-0.03416146109655652,-0.03810765618077609,-0.035962259648042394,-0.03599729435275083,-0.036970853273287724,-0.03588455699983896,-0.03705909906046058,-0.032519623954034835,-0.0382446231792406,-0.03599825206047602,-0.03565518436495055,-0.03970345517702246,-0.03613519406455387,-0.03573700878569119,-0.03768166977834666,-0.036203839180500574,-0.03554537462338185,-0.036385069031359345,-0.034369671229679946,-0.03538644009894526,-0.038529809794400544,-0.036667385847489645,-0.03477607891281133,-0.03650899316074202,-0.035766785465490385,-0.03448839152511378,-0.03611198462905563,-0.04051932843544377,-0.03799402352566366,-0.03765677731242439,-0.04525453985638096,-0.036442332088546886,-0.037580874986438584,-0.03611030191176522,-0.03598882895750033,-0.018196143582688586,-0.03733472423582125,-0.039418026699269915,-0.036866511675670406,-0.03596257425453212,-0.037124572492288295,-0.034956393552663695,-0.039946894752666925,-0.03606049244255306,-0.03203395790147095,-0.03524466618604818,-0.03517863556183457,-0.035974056963182524,-0.03613128730737478,-0.035852754646720324,-0.014555063342100959,-0.038668979687556324,-0.0400879814305267,-0.034589233168448294,-0.03636401014667379,-0.03597780557892227,-0.031172905896097662,-0.03510293231255918,-0.03570934343658999,-0.03138644566401044,-0.03491615979029764
max_num_words,-0.010329490980727211,-0.011059639491477952,-0.010940393071974704,-0.007893880953377265,-0.01859612023007122,-0.009995387742872567,-0.017408822671583387,-0.006269490475087923,-0.012394089282208729,-0.01163240817453335,-0.011120963915842531,-0.009993688698692112,-0.013524596890843812,-0.011468194782577143,-0.011511967180031401,-0.011730733939976076,-0.01106058842349645,-0.011548072148481938,-0.01317597298266758,-0.011494738890557944,-0.008871879755020361,-0.011539610160008575,-0.014282413699677816,-0.011956977563177686,-0.012133304379105233,-0.011634204387365477,-0.011929750816238394,-0.0024104694282915534,-0.01161837959938617,-0.013110334178607217,-0.01292373817895947,-0.011310232426052128,-0.010502179496296726,-0.013314473992640408,-0.010759419305268109,-0.011004575261427375,-0.010245908233301237,-0.012463549035450827,-0.010889338391519163,-0.01310329786987022,-0.013422183602874876,-0.011495134268071035,-0.01277946035950801,-0.011615788621987207,-0.011286561607840452,-0.011835493285278956,-0.010702254902958487,-0.011495250022340149,-0.007609934760328875,-0.011030659130145937,-0.010981211404380256,-0.010405299147565925,-0.011449444212366322,-0.011516267099317572,-0.011266180607080529,-0.010373394238374113,-0.011352079299713984,-0.010355094234572721,-0.011544198818803812,-0.011905263848546205,-0.008489821138925819,-0.010316468945505353,-0.013841254594260426,-0.010295806408355382,-0.014561017609417866,-0.011929562158540661,-0.01150131447314522,-0.01375854877489938,-0.011248261714164915,-0.013314398082003288,-0.01136439759513836,-0.011631308874684713,-0.009250865146267339,-0.011828158878930118,-0.009421818635980978,-0.011929143254002392,-0.00780031818629719,-0.012713744315215488,-0.008566655305308816,-0.011722401496880145,-0.011546168677455296,-0.011571228671548854,-0.013963701256027534,-0.003970766200432085,-0.011136181347364764,-0.011581115765291406,-0.01167762179828628,-0.011719966089932518,-0.012047834465079378,-0.010993682030314058,-0.014455908841073409,-0.010333132802357668,-0.01131483449947011
average_num_chars,-0.0169831151837097,-0.018012025829386474,-0.01642724974562894,-0.018881149563215294,-0.018115443413434122,-0.018514063221619435,-0.015455221011058224,-0.018286739426750888,-0.018453692590848097,-0.0180077800587031,-0.016767076124246515,-0.018000888114570165,-0.01770225544640218,-0.018099297660900078,-0.018093335037317256,-0.01774684663392729,-0.01775090182227053,-0.018292883880509765,-0.01827253664776427,-0.01800352201279641,-0.016512011053944023,-0.01874309129652895,-0.016451360108792158,-0.018476756959866256,-0.017926256471389127,-0.018045906997496756,-0.016996377191542324,-0.01874009997996204,-0.01836674632090004,-0.01678318993897291,-0.017082027417779783,-0.01783453824549515,-0.018317248299317867,-0.018096616432060664,-0.018765122900347996,-0.019092569018355952,-0.018620946322268836,-0.017914090199271586,-0.018555476725468402,-0.014856173596708763,-0.017417066534971506,-0.018209095229867307,-0.017666699592747578,-0.01611662724508785,-0.01791196132607076,-0.01786637627831376,-0.016285009842266437,-0.018090865052466164,-0.016379356744951962,-0.018045189574278316,-0.018936634075118097,-0.019207675942355992,-0.019116286654525912,-0.01854162673241897,-0.015275839623767482,-0.01845084662619398,-0.01747654324457744,-0.01782806660785443,-0.018057871864417825,-0.01684070926637353,-0.018749821987879695,-0.017980871333503505,-0.020145892684927662,-0.019344269640310933,-0.018772061800679158,-0.01819100821983674,-0.01815103897423341,-0.01778974964172991,-0.019520405105140637,-0.01811907047341671,-0.018548898379665314,-0.01815472696718317,-0.016808049413103703,-0.018106419785001573,-0.02029405964707958,-0.017967863463277414,-0.018315839326250524,-0.017977174141350465,-0.016112258923966213,-0.018087031423512145,-0.01806594025106945,-0.017975357888880248,-0.018194268750842874,-0.013082324360823256,-0.01509396729257977,-0.017028188835271955,-0.018071050784882046,-0.018145314716222802,-0.01700954247378865,-0.017802415101212478,-0.018028301953292712,-0.017006005406885287,-0.017942375797756448
stdev_num_chars,-0.015029978454939759,-0.017145272401198182,-0.019264110659531347,-0.014532564571405683,-0.015171468372470225,-0.017220425749837107,-0.020633143095129543,-0.011865523167317787,-0.02004762030619108,-0.01727555637298989,-0.015112068776291083,-0.017896914269990242,-0.01998636548887658,-0.017353686845942882,-0.017358514453266582,-0.01720229855505644,-0.016827882755016114,-0.01738219558745508,-0.017549611376083053,-0.017324473106656385,-0.01639917555698841,-0.02077453785917107,-0.01563327664275997,-0.01780826331721841,-0.017940281940090654,-0.017607834293540278,-0.015294485879511504,-0.01382459838546804,-0.017519134211706297,-0.017528890209455278,-0.01491235238670532,-0.019564684022219538,-0.018986146686221367,-0.017312502790370915,-0.016866820357412028,-0.017177671661506185,-0.01788337135149806,-0.018104435136195855,-0.015484209543105035,-0.018946068667662665,-0.018551962204567327,-0.017345716407618127,-0.017938588805306833,-0.015927343238383823,-0.017385834541959307,-0.017355217186487606,-0.01686548344220442,-0.01736524820688696,-0.014848114139185239,-0.017295842796144885,-0.015818173060089855,-0.01548439918835123,-0.01749568064173315,-0.017521611723935904,-0.01805017398082462,-0.01683061987802839,-0.017405459698169035,-0.01897269675388376,-0.017149857714056544,-0.017890946851343563,-0.013172288076695696,-0.016840043259094464,-0.0242815786671688,-0.01576819991691985,-0.017141045125143452,-0.018561374643630522,-0.017444178123392398,-0.02033420657653801,-0.015528524171034189,-0.018021864121228096,-0.01777812298973027,-0.017359395168964224,-0.01576168509806317,-0.01800605947759829,-0.015063886839879382,-0.017238251880911624,-0.016815010740954494,-0.0169201854443593,-0.012747249499975952,-0.017339735294375446,-0.01732020047085779,-0.01715384572135939,-0.010924628372177484,-0.012067162141864648,-0.01278201954453334,-0.01797053841585652,-0.01889593558512387,-0.01754124599075939,-0.01783421668831016,-0.01826328339882855,-0.01800834029705122,-0.016107598279524675,-0.017337991782221607
min_num_chars,-0.04564886105684114,-0.038399920387022085,-0.037900406524743,-0.03179037714509461,-0.022425476658709257,-0.03544527136660269,-0.0312713060444249,-0.029587099590473787,-0.030650710872831777,-0.03749379329995993,-0.04423713485512093,-0.03630495773032561,-0.03508274092480676,-0.038453318082816906,-0.03837364939051177,-0.038914374152344625,-0.03857316991195557,-0.03881258495790217,-0.032361815410363245,-0.03864844061941866,-0.032599671170342744,-0.035887338886937604,-0.03692901965634213,-0.03783847126335327,-0.04191364936052959,-0.03745441653203738,-0.03606350936844268,-0.032348857551228516,-0.03811308853305424,-0.03769256185388713,-0.03674313099721099,-0.03725320271502299,-0.03926286555122743,-0.0349921750168363,-0.03517052443842945,-0.03463573350913009,-0.037593912130812195,-0.037221930370379956,-0.0328920788044907,-0.03922494754667525,-0.04266703673788376,-0.038357742695335234,-0.03916761052309645,-0.03836003499434505,-0.037677019253850905,-0.038391473790742724,-0.04164733497556765,-0.0384855048032719,-0.038674943306817804,-0.0387603122745787,-0.03798488012065823,-0.03779505151137484,-0.045229943392441796,-0.039203177342545435,-0.03594322897553112,-0.03770341105396968,-0.038511652632047685,-0.03889098203950611,-0.03863627470661515,-0.04058542978078959,-0.03401215210923868,-0.03913358642914556,-0.03942294180854681,-0.03954369420978386,-0.02715603697337362,-0.036850887745863245,-0.038345647934337916,-0.0256879397424693,-0.03847132394638732,-0.03437089556828051,-0.03834650125943226,-0.03803235108675177,-0.04248288841218741,-0.03892110805615039,-0.03831296062136204,-0.03823119209299267,-0.03425114372738933,-0.035407412895506224,-0.03872513556583598,-0.03841319850265942,-0.03841907956805533,-0.038483779577263684,-0.023284560885950354,-0.03635887155508136,-0.0436736060958976,-0.0388712565693245,-0.03556749082656049,-0.0381679781450872,-0.03535453994380078,-0.04002457201103582,-0.03424959474671638,-0.03330207991353471,-0.03878238701745943
