,feature,r2,mae,mse,rmse
406,average_user_sum_num_chars,0.19719000000000003,0.6674399999999999,0.80609,0.8976999999999998
402,average_user_sum_num_words,0.19622,0.66437,0.8070600000000001,0.8982299999999999
634,average_user_sum_nltk_english_stopwords,0.19527,0.66621,0.808,0.89876
405,max_user_sum_num_words,0.18790999999999997,0.67129,0.8153599999999999,0.90284
409,max_user_sum_num_chars,0.18737,0.6753399999999999,0.8159199999999999,0.90316
637,max_user_sum_nltk_english_stopwords,0.18471,0.67506,0.8186,0.90465
602,average_user_sum_auxiliary_verbs,0.18183,0.6739900000000001,0.82161,0.9062699999999999
586,average_user_sum_verbs,0.17992999999999998,0.6713100000000001,0.82345,0.9072899999999999
605,max_user_sum_auxiliary_verbs,0.17792000000000002,0.67631,0.82546,0.9084000000000001
606,average_user_sum_cognitive_mech,0.17707,0.6726400000000001,0.82628,0.90886
