,feature,r2,mae,mse,rmse
218,max_auxiliary_verbs,0.1579,0.6846099999999999,0.8196300000000001,0.90495
697,max_user_sum_time_diff,0.15297,0.69042,0.8252200000000001,0.9078800000000001
216,stdev_auxiliary_verbs,0.15141,0.6853199999999999,0.82578,0.90837
413,max_user_sum_num_chars,0.15114,0.6774,0.8270799999999999,0.9088900000000001
409,max_user_sum_num_words,0.15033000000000002,0.68115,0.82782,0.90929
392,sum_num_chars,0.14958000000000002,0.68607,0.82842,0.9096599999999999
654,average_user_sum_word_TTR,0.14787,0.6922699999999999,0.8298399999999999,0.9104899999999999
391,sum_num_words,0.14781,0.68828,0.83011,0.91059
533,max_user_sum_relative,0.14692,0.6858000000000001,0.8312799999999999,0.9111600000000001
414,average_user_sum_num_messages,0.14651,0.69297,0.83119,0.91124
