,feature,r2,mae,mse,rmse
228,stdev_first_person_plural,0.15306,0.35706999999999994,0.81569,0.87241
1041,max_user_avg_first_pronouns_proportion,0.13635,0.19805,0.1491,0.3861
118,max_positive_affect,0.1317,0.3841,0.8399800000000001,0.88482
338,max_apologizing,0.13053333333333336,0.23775000000000004,0.8449833333333334,0.8469833333333333
230,max_first_person_plural,0.12322999999999999,0.35384999999999994,0.8453499999999998,0.88806
227,average_first_person_plural,0.11600000000000002,0.28646000000000005,0.86094,0.8946299999999999
614,average_user_sum_first_person_plural,0.10637,0.35411000000000004,0.87414,0.9011100000000001
505,max_user_sum_positive_affect,0.10314999999999999,0.39361250000000003,1.0721749999999999,1.0351
116,stdev_positive_affect,0.1030375,0.441475,1.072075,1.0351124999999999
615,stdev_user_sum_first_person_plural,0.10036,0.37237,0.8817400000000001,0.9048
