,feature,r2,mae,mse,rmse
1111,stdev_user_avg_1st_person_pl.,0.11380000000000001,0.63615,0.9216599999999999,0.9567
999,stdev_user_avg_first_person_plural,0.08847,0.64771,0.9474,0.9701600000000001
1110,average_user_avg_1st_person_pl.,0.08483,0.63547,0.9501199999999999,0.9718599999999998
457,max_user_sum_adverbs,0.08336,0.64488,0.9523299999999999,0.9728100000000002
36,stdev_discrepancies,0.08306,0.63927,0.9512599999999999,0.97262
998,average_user_avg_first_person_plural,0.08152,0.64219,0.9527500000000002,0.9733899999999999
150,max_inhibition,0.07578,0.6542199999999999,0.95867,0.9764099999999999
148,stdev_inhibition,0.07221000000000001,0.6500300000000001,0.9618799999999998,0.97811
727,stdev_user_sum_1st_person_pl.,0.07122,0.64654,0.9620700000000001,0.9784099999999999
393,max_user_sum_positive_bert,0.0676125,0.671325,1.0317749999999999,1.0144125
