,feature,r2,mae,mse,rmse
1121,max_user_avg_1st_person_start,0.14270000000000002,0.6509111111111111,0.9161666666666667,0.955511111111111
5,min_positive_bert,0.11043750000000001,0.6927125,0.9834625,0.99065
70,max_adverbs,0.07414,0.63926,0.95839,0.9766499999999999
8,stdev_negative_bert,0.07148,0.6523599999999999,0.9619499999999999,0.9783
457,max_user_sum_adverbs,0.0700875,0.6571374999999999,1.0296124999999998,1.0131875
10,max_negative_bert,0.0664125,0.6740999999999999,1.0315124999999998,1.0146625
1159,variance_in_DD,0.06632222222222223,0.669288888888889,0.997611111111111,0.9972888888888889
327,average_deference,0.0662375,0.673225,1.0336750000000001,1.01525
54,max_certainty,0.06013,0.63867,0.9755600000000001,0.98485
154,max_sadness,0.05978888888888889,0.6731666666666667,1.0063000000000002,1.0013111111111113
