,feature,r2,mae,mse,rmse
1041,max_user_avg_first_pronouns_proportion,0.13635,0.19805,0.1491,0.3861
227,average_first_person_plural,0.11206,0.35947000000000007,0.8705,0.8989800000000001
614,average_user_sum_first_person_plural,0.10637,0.35411000000000004,0.87414,0.9011100000000001
505,max_user_sum_positive_affect,0.10314999999999999,0.39361250000000003,1.0721749999999999,1.0351
615,stdev_user_sum_first_person_plural,0.10036,0.37237,0.8817400000000001,0.9048
590,average_user_sum_friends,0.09692500000000001,0.28466250000000004,1.0801875,1.0388249999999999
591,stdev_user_sum_friends,0.09306249999999999,0.285125,1.0844624999999999,1.04095
493,max_user_sum_family,0.0915,0.1422,0.15685,0.396
118,max_positive_affect,0.08813333333333334,0.3971,0.9774777777777778,0.9686666666666667
204,stdev_friends,0.0872,0.282775,1.091475,1.0443125
