,feature,r2,mae,mse,rmse
590,average_user_sum_verbs,0.07958000000000001,0.83635,0.9249499999999999,0.9616999999999999
684,min_user_sum_positivity_zscore_chats,0.07837000000000001,0.8337300000000001,0.92621,0.96233
593,max_user_sum_verbs,0.07250999999999999,0.8444100000000001,0.9320999999999999,0.96541
546,average_user_sum_social,0.06601000000000001,0.8447100000000001,0.9386099999999999,0.96879
706,average_user_sum_hashedge,0.06265000000000001,0.8460799999999999,0.9420300000000001,0.9705299999999999
610,average_user_sum_cognitive_mech,0.06259999999999999,0.8464899999999999,0.9421100000000001,0.97057
606,average_user_sum_auxiliary_verbs,0.06013999999999999,0.84881,0.94453,0.9718399999999999
518,average_user_sum_present_tense,0.05997,0.8487200000000001,0.94464,0.9719
609,max_user_sum_auxiliary_verbs,0.059840000000000004,0.8514100000000001,0.94485,0.9719900000000001
782,average_user_avg_positive_bert,0.059019999999999996,0.8457800000000001,0.9456500000000002,0.9723599999999999
