conversation_num,discursive_diversity,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,difficulty,score,duration,efficiency,timestamp
rHPaiuXkM3Ss4rEsW,0.712915846780456,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],586.0,107.0,5.476635514018692,2021-02-26T19:11:21.474Z
dArSAcrzmb9bR6Pug,0.5280417375204292,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,2021-02-26T19:22:32.695Z
sbtKHuLChG8ge734n,,1,High,High,High,High,Low,8,Easy [Corresponds to 'Hard' in PNAS],484.0,123.0,3.934959349593496,NULL_TIME
guq9kzMuDCpB4hRhK,0.7170239800062891,1,Mixed,High,High,High,Low,4,Easy [Corresponds to 'Hard' in PNAS],515.0,152.0,3.388157894736842,2021-02-26T19:30:00.579Z
hSNqR8mxGD2jv3WeZ,,1,High,Low,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],653.0,457.0,1.4288840262582057,NULL_TIME
QFLtvFgbhMhRt9KQK,,1,High,Low,High,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],552.0,227.0,2.4317180616740086,NULL_TIME
PfRcbWpT8qDqYiuag,,1,High,Low,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],561.0,206.0,2.7233009708737863,NULL_TIME
kTQ3SdYpMTZinAwHn,,1,Low,Mixed,High,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],611.0,600.0,1.018333333333333,2021-02-26T19:23:59.943Z
TwunaL3J7Q2kC2nMf,0.8229448462678108,1,Low,Low,High,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],511.0,94.0,5.4361702127659575,2021-02-26T19:16:38.062Z
BctKiX6FH5Mu63PY8,,1,Mixed,Low,Low,Mixed,Low,5,Easy [Corresponds to 'Hard' in PNAS],479.0,85.0,5.635294117647059,NULL_TIME
TFXd7JkGn4hdXHvft,0.7710211411872265,1,Low,Low,Low,Mixed,Low,4,Easy [Corresponds to 'Hard' in PNAS],672.0,159.0,4.226415094339623,2021-02-26T19:22:00.850Z
MxNNDmoLQ9nmuHhHe,,1,Mixed,Low,Low,Mixed,Low,3,Easy [Corresponds to 'Hard' in PNAS],633.0,131.0,4.8320610687022905,NULL_TIME
7QFpsEv5X3PgjWwwK,0.6275080635811864,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],586.0,405.0,1.4469135802469135,2021-03-03T19:10:57.150Z
SEN35wQWLHhBBexSa,0.7474985149361476,1,High,High,Mixed,High,High,3,Easy [Corresponds to 'Hard' in PNAS],581.0,141.0,4.120567375886525,NULL_TIME
HvApsyAmuMwWyKcux,,1,High,High,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],541.0,160.0,3.38125,NULL_TIME
g4mc5fAPshDRewkJ8,0.5749304082061821,1,High,High,High,Mixed,Low,7,Easy [Corresponds to 'Hard' in PNAS],498.0,266.0,1.8721804511278195,2021-03-03T19:18:55.200Z
8Tn58Shn84QLt98gm,,1,High,High,High,Mixed,Low,6,Easy [Corresponds to 'Hard' in PNAS],434.0,48.0,9.041666666666666,NULL_TIME
biv6qmjxFHmfqCKDo,,1,High,High,High,Low,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],621.0,72.0,8.625,NULL_TIME
HN8EpujSrSBZK8D4k,0.6702612824157766,1,Low,Low,Low,Mixed,Low,5,Easy [Corresponds to 'Hard' in PNAS],672.0,142.0,4.732394366197183,2021-03-03T19:11:14.174Z
WvTqeFKEDkCLjF7ff,,1,Mixed,Mixed,Mixed,High,Low,2,Easy [Corresponds to 'Hard' in PNAS],592.0,323.0,1.8328173374613004,NULL_TIME
xJqitLtjA4er5jnEn,0.8795959593997584,1,Low,Mixed,Low,Low,Low,4,Easy [Corresponds to 'Hard' in PNAS],569.0,236.0,2.4110169491525424,NULL_TIME
3GHKN56ERGrgdxG4y,0.7089142087016341,1,High,Low,High,Mixed,Low,7,Easy [Corresponds to 'Hard' in PNAS],471.0,180.0,2.6166666666666667,2021-03-10T18:15:56.407Z
AsEcMzyehsmuQspZo,,1,Mixed,Low,High,Low,Low,3,Easy [Corresponds to 'Hard' in PNAS],492.0,182.0,2.7032967032967035,NULL_TIME
EAT5huLHGhHMqrwkH,,1,High,Low,High,High,Low,1,Easy [Corresponds to 'Hard' in PNAS],596.0,71.0,8.394366197183098,NULL_TIME
WCgKHreZdSG6H8PaW,,1,High,Low,High,High,Low,1,Easy [Corresponds to 'Hard' in PNAS],652.0,249.0,2.618473895582329,NULL_TIME
BEY4ikSKrGtcaT8vb,0.9114924166359359,1,High,High,High,Low,Low,5,Easy [Corresponds to 'Hard' in PNAS],525.0,218.0,2.408256880733945,2021-03-10T18:27:59.844Z
dbqX58FcojeTTeMXe,,1,Low,High,High,High,Low,3,Easy [Corresponds to 'Hard' in PNAS],525.0,61.0,8.60655737704918,NULL_TIME
kySX6MHndg67cD3Li,0.6468761274552575,1,Low,Mixed,Low,Mixed,High,7,Easy [Corresponds to 'Hard' in PNAS],648.0,525.0,1.2342857142857142,2021-03-10T18:10:49.630Z
zdBGjnPDQBJoyZqjh,0.8017038025171153,1,Mixed,Mixed,Low,Low,High,7,Easy [Corresponds to 'Hard' in PNAS],627.0,103.0,6.087378640776699,2021-03-10T18:12:55.156Z
cb2KMXFqSt2fJqRoa,0.6023092461424138,1,Low,Low,Low,Low,High,7,Easy [Corresponds to 'Hard' in PNAS],585.0,371.0,1.5768194070080863,2021-03-10T18:19:27.042Z
