conversation_num,speaker_nickname,positive_bert,negative_bert,neutral_bert,num_words,num_chars,num_messages,info_exchange_zscore_chats,info_exchange_zscore_conversation,discrepancies,hear,home,conjunction,certainty,inclusive,bio,achievement,adverbs,anxiety,third_person,negation,swear,death,health,see,body,family,negative_affect,quantifier,positive_affect,insight,humans,present_tense,future_tense,past_tense,relative,sexual,inhibition,sadness,social,indefinite_pronoun,religion,work,money,causation,anger,first_person_singular,feel,tentativeness,exclusive,verbs,friends,article,argue,auxiliary_verbs,cognitive_mech,preposition,first_person_plural,percept,second_person,positive_words,first_person,nltk_english_stopwords,hedge_words,num_question_naive,NTRI,word_TTR,first_pronouns_proportion,function_word_accommodation,content_word_accommodation,hedge_naive,textblob_subjectivity,textblob_polarity,positivity_zscore_chats,positivity_zscore_conversation,dale_chall_score,time_diff,please,please_start,hashedge,indirect_(btw),hedges,factuality,deference,gratitude,apologizing,1st_person_pl.,1st_person,1st_person_start,2nd_person,2nd_person_start,indirect_(greeting),direct_question,direct_start,haspositive,hasnegative,subjunctive,indicative,user_list
rHPaiuXkM3Ss4rEsW_easy,oJLD2kfcwGyXkfCeH,0.21501741,0.026444893,0.7585377,8,33,1,0.7123582778306962,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.05,0.0,1,0,1.0,0.125,0,0.0,0,0.0,0.0,-0.4160156799749664,0.0,0.3968,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[]
dArSAcrzmb9bR6Pug_easy,6QvNn8wdCyviKCjiv,1.15098294,0.908788282,1.94022862,11,52,4,-1.777306357109349,-3.156008243900818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.030000000000000002,0.0,0.0,0.05,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.030000000000000002,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.010000000000000002,0.0,0.010000000000000002,0.01,0.030000000000000002,0.0,0,0,3.0,0.16666666666666666,1,0.01694915254237288,0,0.6000000000000001,0.7,-0.6976688605158161,0.4282105082561425,0.5456,43.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['6qP7EcqvYQL4gmrAX' 'NMkPLqERKzTTMqw5Y' 'WehwSkzFdpbNKjFMD']
dArSAcrzmb9bR6Pug_easy,6qP7EcqvYQL4gmrAX,0.996592317,1.437262792,1.56614481,18,81,4,0.021981213947591893,-1.4642740951431723,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.01,0.0,0.009999999999999998,0.0,0.0,0.01,0.02,0.0,0.01,0.01,0.02,0.02,0.02,0.0,0.01,0.0,0.03,0.009999999999999998,0.11,0.0,0,0,4.0,0.3333333333333333,2,0.0,0,0.0,0.0,-1.2105438305281113,-0.06351253303294195,0.8927999999999999,97.03399999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,['6QvNn8wdCyviKCjiv' 'NMkPLqERKzTTMqw5Y' 'WehwSkzFdpbNKjFMD']
dArSAcrzmb9bR6Pug_easy,NMkPLqERKzTTMqw5Y,0.97229256,0.6058526613999999,0.42185486699999997,16,72,2,1.6817576372409553,0.8387589477033706,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.01,0.02,0.03,0.01,0.01,0.0,0.01,0.02,0.07,0.0,0,0,2.0,0.09090909090909091,2,0.0,0,1.0,0.29999999999999993,0.9693113429772708,1.4778882156206457,0.7936,28.695,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,['6QvNn8wdCyviKCjiv' '6qP7EcqvYQL4gmrAX' 'WehwSkzFdpbNKjFMD']
dArSAcrzmb9bR6Pug_easy,WehwSkzFdpbNKjFMD,1.20040129,2.20480548,3.59479325,58,278,7,6.785795515871815,3.7815233913406203,0.03,0.0,0.0,0.03,0.009999999999999998,0.019999999999999997,0.019999999999999997,0.009999999999999998,0.03,0.0,0.0,0.009999999999999998,0.0,0.0,0.019999999999999997,0.009999999999999998,0.0,0.0,0.01,0.0,0.03,0.01,0.009999999999999998,0.05999999999999999,0.009999999999999998,0.03,0.12999999999999998,0.0,0.019999999999999997,0.01,0.06999999999999999,0.039999999999999994,0.0,0.01,0.01,0.03,0.0,0.019999999999999997,0.0,0.01,0.03,0.09999999999999999,0.0,0.03,0.019999999999999997,0.04999999999999999,0.12999999999999998,0.07999999999999999,0.0,0.009999999999999998,0.03,0.01,0.019999999999999997,0.31,0.0,0,0,6.718954248366013,0.2111111111111111,2,0.025,0,1.4333333333333333,1.2,-3.924370448283993,-1.8425861908438463,2.8768,159.52700000000002,1,0,1,0,0,0,1,0,0,0,0,2,2,1,0,0,0,1,0,0,0,['6QvNn8wdCyviKCjiv' '6qP7EcqvYQL4gmrAX' 'NMkPLqERKzTTMqw5Y']
sbtKHuLChG8ge734n_easy,NULL_SPEAKER,0.22552355,0.09361122,0.6808652,1,3,1,-0.8298882116466817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0,0.0,0.0,-0.3811150096315028,0.0,0.0496,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[]
guq9kzMuDCpB4hRhK_easy,F95Kc45STrQWhYNDa,1.04940654,0.126383374,0.82421,3,10,2,-1.4027353417138004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0,0,2.0,0.0,0,0.0,0,1.0,0.1,1.2254786503663262,1.7648627647937296,0.1488,4.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['DAykrgum4pwPtapsc' 'Wnh2Rbi4NbSZkZHde']
guq9kzMuDCpB4hRhK_easy,DAykrgum4pwPtapsc,0.062044185,0.05323738,0.8847185,2,15,1,-0.5728471300671187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0,0.0,0,0.0,0.0,-0.9241821518763013,-1.5354082948161032,0.0992,17.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['F95Kc45STrQWhYNDa' 'Wnh2Rbi4NbSZkZHde']
guq9kzMuDCpB4hRhK_easy,Wnh2Rbi4NbSZkZHde,0.3119414,0.06783998,0.62021863,1,4,1,-0.8298882116466817,-1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0,0.8888888888888888,0.5,-0.09404088967489758,-0.22945446997762714,0.0496,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['F95Kc45STrQWhYNDa' 'DAykrgum4pwPtapsc']
hSNqR8mxGD2jv3WeZ_easy,NULL_SPEAKER,0.22552355,0.09361122,0.6808652,1,3,1,-0.8298882116466817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0,0.0,0.0,-0.3811150096315028,0.0,0.0496,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[]
