conversation_num,speaker_nickname,average_positive_bert,average_negative_bert,average_neutral_bert,average_num_words,average_num_chars,average_num_messages,average_info_exchange_zscore_chats,average_info_exchange_zscore_conversation,average_discrepancies,average_hear,average_home,average_conjunction,average_certainty,average_inclusive,average_bio,average_achievement,average_adverbs,average_anxiety,average_third_person,average_negation,average_swear,average_death,average_health,average_see,average_body,average_family,average_negative_affect,average_quantifier,average_positive_affect,average_insight,average_humans,average_present_tense,average_future_tense,average_past_tense,average_relative,average_sexual,average_inhibition,average_sadness,average_social,average_indefinite_pronoun,average_religion,average_work,average_money,average_causation,average_anger,average_first_person_singular,average_feel,average_tentativeness,average_exclusive,average_verbs,average_friends,average_article,average_argue,average_auxiliary_verbs,average_cognitive_mech,average_preposition,average_first_person_plural,average_percept,average_second_person,average_positive_words,average_first_person,average_nltk_english_stopwords,average_hedge_words,average_num_question_naive,average_NTRI,average_word_TTR,average_first_pronouns_proportion,average_function_word_accommodation,average_content_word_accommodation,average_hedge_naive,average_textblob_subjectivity,average_textblob_polarity,average_positivity_zscore_chats,average_positivity_zscore_conversation,average_dale_chall_score,average_time_diff,average_please,average_please_start,average_hashedge,average_indirect_(btw),average_hedges,average_factuality,average_deference,average_gratitude,average_apologizing,average_1st_person_pl.,average_1st_person,average_1st_person_start,average_2nd_person,average_2nd_person_start,average_indirect_(greeting),average_direct_question,average_direct_start,average_haspositive,average_hasnegative,average_subjunctive,average_indicative,sum_num_words,sum_num_chars,sum_num_messages,sum_function_word_accommodation,user_list
rHPaiuXkM3Ss4rEsW_easy,oJLD2kfcwGyXkfCeH,0.21501741,0.026444893,0.7585377,8.0,33.0,1.0,0.7123582778306962,,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.05,0.0,1.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,-0.4160156799749664,,0.3968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,33,1,0,[]
dArSAcrzmb9bR6Pug_easy,6QvNn8wdCyviKCjiv,0.287745735,0.2271970705,0.485057155,2.75,13.0,1.0,-0.44432658927733726,-0.7890020609752045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025000000000000005,0.0,0.0,0.0,0.0,0.0025000000000000005,0.0,0.0,0.007500000000000001,0.0,0.0,0.0125,0.0,0.0025,0.0,0.0025,0.0025,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0,0.007500000000000001,0.0,0.0,0.0,0.0025,0.005,0.0025,0.0025,0.0025000000000000005,0.0,0.0025000000000000005,0.0025,0.007500000000000001,0.0,0.0,0.0,0.75,0.041666666666666664,0.25,0.00423728813559322,0.0,0.15000000000000002,0.175,-0.17441721512895403,0.10705262706403562,0.1364,10.7715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,11,52,4,1,['6qP7EcqvYQL4gmrAX' 'NMkPLqERKzTTMqw5Y' 'WehwSkzFdpbNKjFMD']
dArSAcrzmb9bR6Pug_easy,6qP7EcqvYQL4gmrAX,0.24914807925,0.359315698,0.3915362025,4.5,20.25,1.0,0.005495303486897973,-0.3660685237857931,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.005000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0024999999999999996,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0025,0.0075,0.0,0.0,0.0,0.0025,0.0,0.0024999999999999996,0.0,0.0,0.0025,0.005,0.0,0.0025,0.0025,0.005,0.005,0.005,0.0,0.0025,0.0,0.0075,0.0024999999999999996,0.0275,0.0,0.0,0.0,1.0,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,-0.30263595763202783,-0.015878133258235488,0.22319999999999998,24.258499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.0,0.0,18,81,4,2,['6QvNn8wdCyviKCjiv' 'NMkPLqERKzTTMqw5Y' 'WehwSkzFdpbNKjFMD']
dArSAcrzmb9bR6Pug_easy,NMkPLqERKzTTMqw5Y,0.48614628,0.30292633069999997,0.21092743349999998,8.0,36.0,1.0,0.8408788186204776,0.4193794738516853,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.015,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.015,0.0,0.0,0.005,0.005,0.01,0.015,0.005,0.005,0.0,0.005,0.01,0.035,0.0,0.0,0.0,1.0,0.045454545454545456,1.0,0.0,0.0,0.5,0.14999999999999997,0.4846556714886354,0.7389441078103228,0.3968,14.3475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,16,72,2,2,['6QvNn8wdCyviKCjiv' '6qP7EcqvYQL4gmrAX' 'WehwSkzFdpbNKjFMD']
dArSAcrzmb9bR6Pug_easy,WehwSkzFdpbNKjFMD,0.17148589857142857,0.31497221142857146,0.5135418928571428,8.285714285714286,39.714285714285715,1.0,0.9693993594102592,0.5402176273343743,0.004285714285714286,0.0,0.0,0.004285714285714286,0.0014285714285714284,0.0028571428571428567,0.0028571428571428567,0.0014285714285714284,0.004285714285714286,0.0,0.0,0.0014285714285714284,0.0,0.0,0.0028571428571428567,0.0014285714285714284,0.0,0.0,0.0014285714285714286,0.0,0.004285714285714286,0.0014285714285714286,0.0014285714285714284,0.00857142857142857,0.0014285714285714284,0.004285714285714286,0.01857142857142857,0.0,0.0028571428571428567,0.0014285714285714286,0.009999999999999998,0.005714285714285713,0.0,0.0014285714285714286,0.0014285714285714286,0.004285714285714286,0.0,0.0028571428571428567,0.0,0.0014285714285714286,0.004285714285714286,0.014285714285714285,0.0,0.004285714285714286,0.0028571428571428567,0.007142857142857141,0.01857142857142857,0.011428571428571427,0.0,0.0014285714285714284,0.004285714285714286,0.0014285714285714286,0.0028571428571428567,0.04428571428571428,0.0,0.0,0.0,0.9598506069094305,0.03015873015873016,0.2857142857142857,0.0035714285714285718,0.0,0.20476190476190476,0.17142857142857143,-0.5606243497548562,-0.26322659869197806,0.41097142857142854,22.78957142857143,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,58,278,7,2,['6QvNn8wdCyviKCjiv' '6qP7EcqvYQL4gmrAX' 'NMkPLqERKzTTMqw5Y']
sbtKHuLChG8ge734n_easy,NULL_SPEAKER,0.22552355,0.09361122,0.6808652,1.0,3.0,1.0,-0.8298882116466817,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3811150096315028,,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,0,[]
guq9kzMuDCpB4hRhK_easy,F95Kc45STrQWhYNDa,0.52470327,0.063191687,0.412105,1.5,5.0,1.0,-0.7013676708569002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999999,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.05,0.6127393251831631,0.8824313823968648,0.0744,2.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3,10,2,0,['DAykrgum4pwPtapsc' 'Wnh2Rbi4NbSZkZHde']
guq9kzMuDCpB4hRhK_easy,DAykrgum4pwPtapsc,0.062044185,0.05323738,0.8847185,2.0,15.0,1.0,-0.5728471300671187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9241821518763013,-1.5354082948161032,0.0992,17.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15,1,0,['F95Kc45STrQWhYNDa' 'Wnh2Rbi4NbSZkZHde']
guq9kzMuDCpB4hRhK_easy,Wnh2Rbi4NbSZkZHde,0.3119414,0.06783998,0.62021863,1.0,4.0,1.0,-0.8298882116466817,-1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.5,-0.09404088967489758,-0.22945446997762714,0.0496,7.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,0,['F95Kc45STrQWhYNDa' 'DAykrgum4pwPtapsc']
hSNqR8mxGD2jv3WeZ_easy,NULL_SPEAKER,0.22552355,0.09361122,0.6808652,1.0,3.0,1.0,-0.8298882116466817,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3811150096315028,,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,0,[]
