conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
0,5e7e1e0031f4e454e196c30b,127,653,8,16,"['5e31d6e4e31c5304c46f1413' '5e7e4f4c31f4e454e196c9c4'
 '5d482ea421c9be351f762255' '5e84cc3c50f6e364321d6265'
 '5d482ea621c9be351f762ae5' '5d6feec65f80ae21f5c5f054'
 '5e8b6dd0b35db8283c501b7a']"
0,5e31d6e4e31c5304c46f1413,140,725,5,12,"['5e7e1e0031f4e454e196c30b' '5e7e4f4c31f4e454e196c9c4'
 '5d482ea421c9be351f762255' '5e84cc3c50f6e364321d6265'
 '5d482ea621c9be351f762ae5' '5d6feec65f80ae21f5c5f054'
 '5e8b6dd0b35db8283c501b7a']"
0,5e7e4f4c31f4e454e196c9c4,88,407,9,10,"['5e7e1e0031f4e454e196c30b' '5e31d6e4e31c5304c46f1413'
 '5d482ea421c9be351f762255' '5e84cc3c50f6e364321d6265'
 '5d482ea621c9be351f762ae5' '5d6feec65f80ae21f5c5f054'
 '5e8b6dd0b35db8283c501b7a']"
0,5d482ea421c9be351f762255,127,627,8,14,"['5e7e1e0031f4e454e196c30b' '5e31d6e4e31c5304c46f1413'
 '5e7e4f4c31f4e454e196c9c4' '5e84cc3c50f6e364321d6265'
 '5d482ea621c9be351f762ae5' '5d6feec65f80ae21f5c5f054'
 '5e8b6dd0b35db8283c501b7a']"
0,5e84cc3c50f6e364321d6265,91,443,8,3,"['5e7e1e0031f4e454e196c30b' '5e31d6e4e31c5304c46f1413'
 '5e7e4f4c31f4e454e196c9c4' '5d482ea421c9be351f762255'
 '5d482ea621c9be351f762ae5' '5d6feec65f80ae21f5c5f054'
 '5e8b6dd0b35db8283c501b7a']"
0,5d482ea621c9be351f762ae5,123,598,6,6,"['5e7e1e0031f4e454e196c30b' '5e31d6e4e31c5304c46f1413'
 '5e7e4f4c31f4e454e196c9c4' '5d482ea421c9be351f762255'
 '5e84cc3c50f6e364321d6265' '5d6feec65f80ae21f5c5f054'
 '5e8b6dd0b35db8283c501b7a']"
0,5d6feec65f80ae21f5c5f054,130,657,7,20,"['5e7e1e0031f4e454e196c30b' '5e31d6e4e31c5304c46f1413'
 '5e7e4f4c31f4e454e196c9c4' '5d482ea421c9be351f762255'
 '5e84cc3c50f6e364321d6265' '5d482ea621c9be351f762ae5'
 '5e8b6dd0b35db8283c501b7a']"
0,5e8b6dd0b35db8283c501b7a,30,183,1,4,"['5e7e1e0031f4e454e196c30b' '5e31d6e4e31c5304c46f1413'
 '5e7e4f4c31f4e454e196c9c4' '5d482ea421c9be351f762255'
 '5e84cc3c50f6e364321d6265' '5d482ea621c9be351f762ae5'
 '5d6feec65f80ae21f5c5f054']"
1,5e7e4f4c31f4e454e196c9c4,76,433,12,6,"['5e84cc3c50f6e364321d6265' '5d6feec65f80ae21f5c5f054'
 '5e31d6e4e31c5304c46f1413' '5d482ea421c9be351f762255'
 '5e8b6dd0b35db8283c501b7a']"
1,5e84cc3c50f6e364321d6265,99,499,9,12,"['5e7e4f4c31f4e454e196c9c4' '5d6feec65f80ae21f5c5f054'
 '5e31d6e4e31c5304c46f1413' '5d482ea421c9be351f762255'
 '5e8b6dd0b35db8283c501b7a']"
1,5d6feec65f80ae21f5c5f054,169,903,12,10,"['5e7e4f4c31f4e454e196c9c4' '5e84cc3c50f6e364321d6265'
 '5e31d6e4e31c5304c46f1413' '5d482ea421c9be351f762255'
 '5e8b6dd0b35db8283c501b7a']"
1,5e31d6e4e31c5304c46f1413,101,513,4,8,"['5e7e4f4c31f4e454e196c9c4' '5e84cc3c50f6e364321d6265'
 '5d6feec65f80ae21f5c5f054' '5d482ea421c9be351f762255'
 '5e8b6dd0b35db8283c501b7a']"
1,5d482ea421c9be351f762255,108,568,5,13,"['5e7e4f4c31f4e454e196c9c4' '5e84cc3c50f6e364321d6265'
 '5d6feec65f80ae21f5c5f054' '5e31d6e4e31c5304c46f1413'
 '5e8b6dd0b35db8283c501b7a']"
1,5e8b6dd0b35db8283c501b7a,106,544,3,11,"['5e7e4f4c31f4e454e196c9c4' '5e84cc3c50f6e364321d6265'
 '5d6feec65f80ae21f5c5f054' '5e31d6e4e31c5304c46f1413'
 '5d482ea421c9be351f762255']"
2,5e9de5be9dc0406f8987226c,114,619,16,8,"['5e9de4e29dc0406f89872254' '5e8b6f06b35db8283c501ca6'
 '5e8b3c3e36ec0e1294b36931' '5e9de4c49dc0406f8987224f'
 '5e84cc1450f6e364321d6260' '5d482eab21c9be351f764234']"
