,positive_bert,negative_bert,neutral_bert
0,0.10030091,0.038003124,0.861696
1,0.10219726,0.04085062,0.8569521
2,0.94834894,0.009068564,0.04258251
3,0.79602766,0.01995246,0.18401988
4,0.7602788,0.015046575,0.22467457
5,0.79787374,0.031796306,0.17032997
6,0.022007402,0.515478,0.46251464
7,0.10869554,0.06243867,0.82886577
8,0.1054049,0.034259442,0.86033565
9,0.26075327,0.05780612,0.68144053
10,0.064331874,0.06556114,0.87010694
11,0.21191727,0.032322124,0.7557606
12,0.8966215,0.008381359,0.09499716
13,0.9489934,0.008123707,0.04288286
14,0.76040804,0.009866399,0.22972552
15,0.52754235,0.020690115,0.45176753
16,0.104810074,0.052701775,0.8424881
17,0.31431583,0.15973394,0.52595025
18,0.05329193,0.28108844,0.6656196
19,0.016901053,0.7625464,0.22055253
20,0.11747685,0.40496975,0.47755337
21,0.021233937,0.7045199,0.27424622
22,0.04775534,0.25735188,0.69489276
23,0.023358053,0.47049767,0.5061442
24,0.55311394,0.082407124,0.36447898
25,0.010061207,0.5521026,0.43783623
26,0.07619832,0.28205317,0.64174855
27,0.023962814,0.25143555,0.7246017
28,0.03494086,0.060732856,0.9043263
29,0.057970427,0.078742765,0.8632868
30,0.84931225,0.010935649,0.13975213
31,0.2591881,0.13180195,0.60901
32,0.773476,0.024870213,0.20165378
33,0.007003989,0.87124914,0.121746875
34,0.09696223,0.11892442,0.78411335
35,0.9514831,0.0041436367,0.044373248
36,0.93252283,0.0044481787,0.06302899
37,0.016701333,0.7275778,0.25572088
38,0.67093825,0.0071306597,0.32193106
39,0.8554173,0.014654778,0.1299279
40,0.32490703,0.09810067,0.57699233
41,0.73658043,0.02783733,0.23558225
42,0.24101144,0.27661517,0.4823734
43,0.17033806,0.102313586,0.7273484
44,0.18270123,0.04738519,0.7699137
45,0.25312537,0.06151953,0.6853551
46,0.07636982,0.27923125,0.6443989
47,0.013164046,0.42399368,0.5628423
48,0.011121608,0.77189034,0.21698804
49,0.11155042,0.28216067,0.6062889
50,0.14289932,0.2274201,0.6296806
51,0.14289932,0.2274201,0.6296806
52,0.11898249,0.09877434,0.78224313
53,0.9401414,0.004526926,0.055331737
54,0.879444,0.007948364,0.1126077
55,0.13860475,0.12728998,0.7341053
56,0.80916476,0.02227375,0.16856144
57,0.9408664,0.0057044774,0.053429116
58,0.15671566,0.1579403,0.68534404
59,0.9282283,0.008104807,0.063666895
60,0.12153252,0.11479781,0.7636697
61,0.0264281,0.25433746,0.71923447
62,0.6991095,0.012192499,0.288698
63,0.06228405,0.40732855,0.53038734
64,0.7477054,0.013131628,0.23916298
65,0.029608648,0.18189058,0.7885007
66,0.044321857,0.074137755,0.8815404
67,0.03244302,0.20970996,0.75784695
68,0.080046386,0.084197484,0.8357561
69,0.36574835,0.088881865,0.5453698
70,0.8683587,0.023224037,0.10841728
71,0.030397702,0.4396909,0.5299114
72,0.30300725,0.08659812,0.6103947
73,0.35580108,0.074946694,0.56925225
74,0.095202945,0.076099664,0.8286973
75,0.09155333,0.12601496,0.78243166
76,0.019630937,0.33022115,0.650148
77,0.22405598,0.055423778,0.72052026
78,0.11320757,0.18191253,0.7048799
79,0.09821441,0.057864908,0.8439207
80,0.019241212,0.4891542,0.49160466
81,0.04990755,0.28201422,0.6680783
82,0.11731872,0.31696194,0.56571937
83,0.045140237,0.31872687,0.6361329
84,0.28889793,0.13233304,0.578769
85,0.18871705,0.064177245,0.74710566
86,0.09730122,0.13073947,0.7719593
87,0.028191969,0.39785576,0.57395226
88,0.18056448,0.20404296,0.61539257
89,0.8941193,0.010430191,0.095450476
90,0.16854209,0.10035874,0.7310991
91,0.0073012644,0.75002366,0.24267504
92,0.060847804,0.123544484,0.81560767
93,0.10160044,0.17710678,0.7212928
94,0.09397261,0.17561018,0.7304172
95,0.31661502,0.118958496,0.5644265
96,0.52249837,0.027833275,0.4496684
97,0.043220486,0.13538955,0.8213899
98,0.11971714,0.008988324,0.87129456
99,0.09359884,0.45568606,0.45071504
100,0.076632224,0.031026207,0.8923416
101,0.015674105,0.77259165,0.2117342
102,0.0365356,0.2656765,0.6977879
103,0.6405969,0.01644814,0.34295493
104,0.23209667,0.030197404,0.7377059
105,0.95378536,0.007221213,0.038993433
106,0.36310765,0.102039315,0.53485304
107,0.48171327,0.08014661,0.4381401
