,positive_bert,negative_bert,neutral_bert
0,0.21501741,0.026444893,0.7585377
1,0.8554175,0.014654767,0.12992772
2,0.7365803,0.027837312,0.23558237
3,0.95251024,0.0044767614,0.043013047
4,0.01894248,0.67622185,0.3048356
5,0.16307868,0.21607263,0.62084866
6,0.16294593,0.08317168,0.75388235
7,0.016788436,0.53557515,0.44763637
8,0.10266946,0.40232834,0.49500218
9,0.01978232,0.6013759,0.37884182
10,0.015148577,0.5113041,0.4735474
11,0.11352743,0.087444015,0.7990285
12,0.09479716,0.13125403,0.7739488
13,0.009658411,0.8153833,0.17495827
14,0.010543583,0.78958833,0.19986811
15,0.16309553,0.13046765,0.7064368
16,0.23356517,0.05846703,0.7079678
17,0.6512179,0.07108637,0.27769575
18,0.22552355,0.09361122,0.6808652
19,0.5003099,0.107689396,0.3920007
20,0.062044185,0.05323738,0.8847185
21,0.54909664,0.018693978,0.4322093
22,0.3119414,0.06783998,0.62021863
23,0.22552355,0.09361122,0.6808652
24,0.22552355,0.09361122,0.6808652
25,0.22552355,0.09361122,0.6808652
26,0.23437643,0.14255027,0.6230733
27,0.14962514,0.14196335,0.7084115
28,0.22552355,0.09361122,0.6808652
29,0.38877815,0.03875568,0.57246614
30,0.22552355,0.09361122,0.6808652
31,0.9437576,0.006554391,0.049688082
32,0.3309123,0.05961624,0.6094715
33,0.024347944,0.0816847,0.8939674
34,0.029189138,0.16424546,0.80656534
35,0.015248041,0.71154726,0.27320468
36,0.09899358,0.429838,0.47116846
37,0.13870418,0.10416249,0.7571333
38,0.024777941,0.57033896,0.40488306
39,0.11404497,0.16635555,0.7195995
40,0.052740976,0.36348504,0.583774
41,0.060202934,0.12483398,0.81496304
42,0.4590544,0.12031821,0.42062742
43,0.3449362,0.07584945,0.57921433
44,0.17013831,0.046073742,0.78378797
45,0.013742103,0.86693466,0.11932323
46,0.7162894,0.014772956,0.2689376
47,0.089945436,0.063411765,0.8466428
48,0.2742263,0.08703147,0.6387422
49,0.22552355,0.09361122,0.6808652
50,0.22552355,0.09361122,0.6808652
51,0.2599294,0.08761467,0.65245587
52,0.9229845,0.012628935,0.06438661
53,0.9724764,0.0070026275,0.020520905
54,0.97335815,0.005776164,0.020865692
55,0.9178376,0.005955863,0.076206535
56,0.950474,0.008468498,0.041057456
57,0.38104376,0.33371735,0.28523886
58,0.08415022,0.16539024,0.7504595
59,0.024521004,0.72397906,0.2514999
60,0.0072430396,0.940361,0.05239603
61,0.035060182,0.023736887,0.941203
62,0.10473114,0.16972914,0.72553974
63,0.080905005,0.36072546,0.5583696
64,0.061773714,0.33786932,0.60035694
65,0.08343782,0.17160875,0.74495345
66,0.32519776,0.13218942,0.54261285
67,0.98649687,0.0032452273,0.010257885
68,0.96107614,0.0059352955,0.03298861
69,0.96076065,0.005473703,0.033765577
70,0.10152484,0.21800596,0.6804692
71,0.97053367,0.0054338933,0.024032427
72,0.35521242,0.19234067,0.4524469
73,0.95313066,0.005339724,0.04152957
74,0.75945735,0.0102558965,0.23028678
75,0.22552355,0.09361122,0.6808652
76,0.22552355,0.09361122,0.6808652
77,0.95606107,0.011931728,0.032007225
78,0.91665494,0.017603928,0.06574115
79,0.03715463,0.5563414,0.40650398
80,0.92973167,0.011104606,0.059163786
81,0.22552355,0.09361122,0.6808652
82,0.22552355,0.09361122,0.6808652
83,0.9678857,0.0058311378,0.026283227
84,0.019323437,0.7522728,0.2284038
85,0.69802046,0.04318664,0.25879294
86,0.41306174,0.056868065,0.5300702
87,0.051425535,0.4635182,0.48505622
88,0.22552355,0.09361122,0.6808652
89,0.22552355,0.09361122,0.6808652
90,0.22552355,0.09361122,0.6808652
91,0.122272566,0.088680916,0.7890465
92,0.22552355,0.09361122,0.6808652
93,0.119880185,0.008235814,0.871884
94,0.0570238,0.01992194,0.9230542
95,0.041380856,0.5250721,0.43354702
96,0.11473652,0.08513778,0.8001258
97,0.12317784,0.109280296,0.7675418
98,0.16655685,0.034666326,0.7987768
99,0.14559971,0.02958565,0.8248146
100,0.38054276,0.017264863,0.60219234
101,0.3131661,0.20566975,0.4811641
102,0.025494182,0.347237,0.6272689
103,0.07250865,0.05979744,0.8676939
104,0.0557382,0.1028171,0.84144473
105,0.31691796,0.01925674,0.6638253
106,0.4800682,0.10225532,0.41767654
107,0.2928632,0.20579915,0.50133765
108,0.0955778,0.039430585,0.86499166
109,0.1498829,0.07601111,0.774106
110,0.045923375,0.37933517,0.5747415
111,0.1421461,0.015832696,0.84202117
112,0.014745015,0.7600561,0.22519898
113,0.049343478,0.06262167,0.8880348
114,0.8563161,0.00927185,0.13441198
115,0.23028006,0.091875285,0.67784476
116,0.860433,0.010237836,0.12932922
117,0.31639436,0.021686906,0.6619187
118,0.07382772,0.12341949,0.8027528
119,0.11643414,0.1324474,0.7511184
120,0.09278376,0.32118672,0.5860295
121,0.17678429,0.38225865,0.4409571
122,0.95752627,0.007096416,0.03537734
123,0.9419665,0.0075967903,0.05043673
124,0.18984285,0.14397469,0.66618246
125,0.8554175,0.014654767,0.12992772
126,0.027398475,0.48911217,0.48348933
127,0.046320558,0.309489,0.6441905
128,0.0583669,0.32404357,0.61758953
129,0.043313943,0.053371906,0.9033142
130,0.4800682,0.10225532,0.41767654
131,0.009705274,0.71670055,0.27359423
132,0.32920226,0.101923585,0.56887406
133,0.6833009,0.06474693,0.25195214
134,0.022117887,0.8715913,0.10629077
135,0.18918833,0.24518134,0.5656303
136,0.24970211,0.06687955,0.68341833
137,0.57976735,0.023788435,0.3964442
138,0.8554175,0.014654767,0.12992772
139,0.7362196,0.047316484,0.21646394
140,0.96157324,0.0073748594,0.031051908
141,0.22552355,0.09361122,0.6808652
142,0.22552355,0.09361122,0.6808652
143,0.22552355,0.09361122,0.6808652
144,0.22552355,0.09361122,0.6808652
145,0.22552355,0.09361122,0.6808652
146,0.22552355,0.09361122,0.6808652
147,0.22552355,0.09361122,0.6808652
148,0.22552355,0.09361122,0.6808652
149,0.22552355,0.09361122,0.6808652
150,0.22552355,0.09361122,0.6808652
151,0.16482139,0.02180338,0.8133752
152,0.3699952,0.09341041,0.5365944
153,0.052180186,0.0260887,0.9217312
154,0.02352781,0.5105412,0.46593103
155,0.36310744,0.102039345,0.5348532
156,0.69572765,0.03670337,0.26756895
157,0.9759361,0.0044085686,0.01965539
158,0.28047305,0.03960252,0.6799244
159,0.07008444,0.033426072,0.8964895
160,0.35390925,0.02831163,0.61777914
161,0.051374502,0.06883024,0.8797952
162,0.07096237,0.43057922,0.4984584
163,0.43048313,0.09316128,0.4763556
164,0.06427179,0.018654328,0.9170739
165,0.03730418,0.36478436,0.5979115
166,0.840363,0.013832523,0.14580442
167,0.26248607,0.06470413,0.6728097
168,0.41534337,0.09492465,0.48973197
169,0.22552355,0.09361122,0.6808652
170,0.22552355,0.09361122,0.6808652
171,0.0121888565,0.6413499,0.34646115
172,0.11401277,0.020616826,0.8653704
173,0.21759452,0.064032264,0.71837324
174,0.77992153,0.04669211,0.17338642
175,0.48171332,0.08014659,0.43814006
