,positive_bert,negative_bert,neutral_bert
0,0.05279457,0.28051835,0.6666871
1,0.04820251,0.04007921,0.9117183
2,0.10859442,0.0297356,0.86166996
3,0.23834042,0.042780843,0.7188788
4,0.1466366,0.008882099,0.8444812
5,0.06200938,0.070629634,0.8673609
6,0.05847191,0.13298272,0.80854535
7,0.25558543,0.015264351,0.72915024
8,0.08754813,0.08575452,0.8266973
9,0.062979974,0.017409427,0.9196106
10,0.07067972,0.019471746,0.9098486
11,0.061292782,0.039014127,0.8996931
12,0.089564055,0.029207528,0.8812284
13,0.12812433,0.036856327,0.8350193
14,0.06352302,0.022026183,0.91445076
15,0.9393482,0.0049018683,0.05574992
16,0.040206496,0.122491874,0.83730155
17,0.22552355,0.09361122,0.6808652
18,0.22552355,0.09361122,0.6808652
19,0.11210466,0.060474776,0.82742053
20,0.050132446,0.022284599,0.927583
21,0.15332352,0.03620351,0.8104729
22,0.0588621,0.14045982,0.80067813
23,0.92197126,0.004168359,0.07386034
24,0.073824264,0.013131371,0.9130443
25,0.014239856,0.77150744,0.21425274
26,0.22552355,0.09361122,0.6808652
27,0.22552355,0.09361122,0.6808652
28,0.06192044,0.03258705,0.9054925
29,0.007976381,0.8727487,0.11927494
30,0.1644382,0.066553935,0.7690078
31,0.07772225,0.015896142,0.9063816
32,0.2245426,0.011241475,0.7642159
33,0.024057373,0.09347403,0.8824685
34,0.083534814,0.035001755,0.8814634
35,0.121413745,0.054849733,0.8237365
36,0.086994745,0.020269016,0.89273626
37,0.1256087,0.09168887,0.78270245
38,0.09160529,0.089089915,0.8193048
39,0.046054963,0.010628245,0.9433167
40,0.025839658,0.44003358,0.53412676
41,0.17166992,0.035927996,0.7924021
42,0.048489954,0.021041377,0.9304686
43,0.030444229,0.013920726,0.955635
44,0.09991628,0.047969323,0.85211444
45,0.11707896,0.20649771,0.6764234
46,0.036999036,0.16855057,0.7944504
47,0.18785328,0.051638115,0.7605086
48,0.07277405,0.2585457,0.66868025
49,0.7014489,0.0041021714,0.29444894
50,0.030352224,0.0357369,0.9339109
51,0.14144538,0.045456745,0.81309795
52,0.07396719,0.033298172,0.89273465
53,0.051384404,0.1139622,0.8346534
54,0.07199481,0.013556269,0.914449
55,0.18593973,0.04294555,0.77111477
56,0.22552355,0.09361122,0.6808652
57,0.10649983,0.054319683,0.83918047
58,0.22552355,0.09361122,0.6808652
59,0.06519064,0.019011376,0.915798
60,0.16668315,0.05315141,0.78016543
61,0.052693382,0.04282942,0.9044772
62,0.42784312,0.008222693,0.56393415
63,0.21584745,0.024347812,0.7598047
64,0.10412116,0.07361676,0.8222621
65,0.9247335,0.0067840368,0.06848244
66,0.055863142,0.010330982,0.9338059
67,0.22552355,0.09361122,0.6808652
68,0.22552355,0.09361122,0.6808652
69,0.2907311,0.018736882,0.690532
70,0.22552355,0.09361122,0.6808652
71,0.061138943,0.26006863,0.6787925
72,0.049490087,0.0150844855,0.9354254
73,0.027286144,0.2028287,0.7698851
74,0.077455826,0.014788319,0.9077559
75,0.0498149,0.019971896,0.9302132
76,0.12930618,0.008977097,0.8617167
77,0.1184618,0.04193474,0.8396035
78,0.1058455,0.028753748,0.86540085
79,0.22552355,0.09361122,0.6808652
80,0.021039769,0.74478376,0.23417647
81,0.22552355,0.09361122,0.6808652
82,0.08209731,0.040845994,0.8770567
83,0.050835762,0.1956538,0.75351036
84,0.22552355,0.09361122,0.6808652
85,0.33779204,0.08212844,0.58007944
86,0.21678783,0.024926811,0.7582854
87,0.027029429,0.05359411,0.9193765
88,0.057652317,0.06859622,0.8737515
89,0.08481448,0.0963374,0.81884813
90,0.035704233,0.6693865,0.2949092
91,0.15011184,0.016024895,0.8338633
92,0.05143715,0.03752862,0.9110343
93,0.062814794,0.0167142,0.9204711
94,0.08321291,0.049361482,0.86742556
95,0.057664305,0.023780962,0.9185548
96,0.074478425,0.016061597,0.90946
97,0.22232813,0.03750439,0.74016744
98,0.23985964,0.04379814,0.7163422
99,0.086021855,0.13911653,0.7748616
100,0.22552355,0.09361122,0.6808652
101,0.22552355,0.09361122,0.6808652
102,0.22552355,0.09361122,0.6808652
103,0.22552355,0.09361122,0.6808652
104,0.1311556,0.037940618,0.8309037
105,0.07832821,0.057101175,0.86457056
106,0.22232813,0.03750439,0.74016744
107,0.16096549,0.073508576,0.765526
108,0.90746546,0.005283641,0.08725091
109,0.08508447,0.075740784,0.8391748
110,0.045998916,0.039398074,0.914603
111,0.054624148,0.36368173,0.58169407
112,0.22552355,0.09361122,0.6808652
113,0.22552355,0.09361122,0.6808652
114,0.048301015,0.027833827,0.9238652
115,0.03365201,0.06562033,0.9007276
116,0.056767125,0.047979,0.8952539
117,0.07427337,0.07195596,0.85377073
118,0.1802395,0.050960205,0.76880026
119,0.13217469,0.047701903,0.8201234
120,0.06243035,0.16396047,0.77360916
121,0.049051445,0.016755398,0.93419313
122,0.1291933,0.038299702,0.832507
123,0.11268391,0.29372334,0.5935927
124,0.22311118,0.15489727,0.6219915
125,0.09852814,0.09208287,0.809389
126,0.025532931,0.8467212,0.12774594
127,0.04759662,0.015294304,0.9371091
128,0.13076785,0.048292935,0.8209392
129,0.1558958,0.19598165,0.64812255
130,0.22552355,0.09361122,0.6808652
131,0.10684003,0.19150656,0.7016534
132,0.034970727,0.0832731,0.8817561
133,0.03505876,0.015730685,0.94921064
134,0.031120678,0.021590468,0.9472888
135,0.101741746,0.024780283,0.87347794
136,0.08601908,0.057443563,0.85653734
137,0.062019534,0.05717994,0.88080055
